Academic Year	Aggregate Level	County Code	District Code	School Code	County Name	District Name	School Name	Charter School	DASS	Reporting Category	Cumulative Enrollment	Homeless Student Enrollment	Temporarily Doubled Up	Temporary Shelters	Hotels/Motels	Temporarily Unsheltered	Missing/Unknown	Temporarily Doubled Up (percent)	Temporary Shelters (percent)	Hotels/Motels (percent)	Temporarily Unsheltered (percent)	Missing/Unknown (percent)
2023-24	T	00			State			All	All	GF	2921267	139515	116434	9698	8077	5305	1	83.5	7.0	5.8	3.8	0.0
2023-24	T	00			State			All	No 	GF	2839562	131491	110647	8561	7588	4694	1	84.1	6.5	5.8	3.6	0.0
2023-24	T	00			State			All	Yes	GF	124290	12565	9331	1561	806	867	0	74.3	12.4	6.4	6.9	0.0
2023-24	T	00			State			No 	All	GF	2559367	127879	107787	8323	7333	4435	1	84.3	6.5	5.7	3.5	0.0
2023-24	T	00			State			No 	No 	GF	2528192	124168	104774	8007	7121	4265	1	84.4	6.4	5.7	3.4	0.0
2023-24	T	00			State			No 	Yes	GF	51149	6445	5102	613	421	309	0	79.2	9.5	6.5	4.8	0.0
2023-24	T	00			State			Yes	All	GF	412464	16336	12226	1845	1121	1144	0	74.8	11.3	6.9	7.0	0.0
2023-24	T	00			State			Yes	No 	GF	340415	10038	7856	873	724	585	0	78.3	8.7	7.2	5.8	0.0
2023-24	T	00			State			Yes	Yes	GF	75304	6503	4523	988	416	576	0	69.6	15.2	6.4	8.9	0.0
2023-24	T	00			State			All	All	GM	3096581	147014	122186	10238	8752	5838	0	83.1	7.0	6.0	4.0	0.0
2023-24	T	00			State			All	No 	GM	3002230	138987	116317	9147	8252	5271	0	83.7	6.6	5.9	3.8	0.0
2023-24	T	00			State			All	Yes	GM	147301	13464	10051	1584	935	894	0	74.7	11.8	6.9	6.6	0.0
2023-24	T	00			State			No 	All	GM	2736032	136468	114439	8961	8021	5047	0	83.9	6.6	5.9	3.7	0.0
2023-24	T	00			State			No 	No 	GM	2688924	131919	110742	8607	7767	4803	0	83.9	6.5	5.9	3.6	0.0
2023-24	T	00			State			No 	Yes	GM	79006	8481	6695	740	572	474	0	78.9	8.7	6.7	5.6	0.0
2023-24	T	00			State			Yes	All	GM	409165	14817	10956	1701	1115	1045	0	73.9	11.5	7.5	7.1	0.0
2023-24	T	00			State			Yes	No 	GM	340582	9511	7352	818	729	612	0	77.3	8.6	7.7	6.4	0.0
2023-24	T	00			State			Yes	Yes	GM	71776	5474	3727	893	407	447	0	68.1	16.3	7.4	8.2	0.0
2023-24	T	00			State			All	All	GR01	408506	20557	17290	1343	1217	707	0	84.1	6.5	5.9	3.4	0.0
2023-24	T	00			State			All	No 	GR01	407105	20490	17245	1334	1207	704	0	84.2	6.5	5.9	3.4	0.0
2023-24	T	00			State			All	Yes	GR01	1877	118	81	14	15	8	0	68.6	11.9	12.7	6.8	0.0
2023-24	T	00			State			No 	All	GR01	363354	19484	16436	1266	1142	640	0	84.4	6.5	5.9	3.3	0.0
2023-24	T	00			State			No 	No 	GR01	362215	19425	16394	1258	1136	637	0	84.4	6.5	5.8	3.3	0.0
2023-24	T	00			State			No 	Yes	GR01	1485	95	69	11	10	5	0	72.6	11.6	10.5	5.3	0.0
2023-24	T	00			State			Yes	All	GR01	48778	1505	1142	145	124	94	0	75.9	9.6	8.2	6.2	0.0
2023-24	T	00			State			Yes	No 	GR01	48405	1482	1130	142	119	91	0	76.2	9.6	8.0	6.1	0.0
