Academic Year	Aggregate Level	County Code	District Code	School Code	County Name	District Name	School Name	Charter School	DASS	Reporting Category	Cumulative Enrollment	Homeless Student Enrollment	Temporarily Doubled Up	Temporary Shelters	Hotels/Motels	Temporarily Unsheltered	Missing/Unknown	Temporarily Doubled Up (percent)	Temporary Shelters (percent)	Hotels/Motels (percent)	Temporarily Unsheltered (percent)	Missing/Unknown (percent)
2024-25	C	01			Alameda			No 	All	GR02	14289	323	235	35	34	19	0	72.8	10.8	10.5	5.9	0.0
2024-25	C	01			Alameda			No 	No 	GR02	14275	323	235	35	34	19	0	72.8	10.8	10.5	5.9	0.0
2024-25	C	01			Alameda			No 	Yes	GR02	18	0	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			Yes	All	GR02	1351	39	30	4	4	1	0	76.9	10.3	10.3	2.6	0.0
2024-25	C	01			Alameda			Yes	No 	GR02	1351	39	30	4	4	1	0	76.9	10.3	10.3	2.6	0.0
2024-25	C	01			Alameda			All	All	GR03	16077	375	270	47	33	25	0	72.0	12.5	8.8	6.7	0.0
2024-25	C	01			Alameda			All	No 	GR03	16054	374	270	47	33	24	0	72.2	12.6	8.8	6.4	0.0
2024-25	C	01			Alameda			All	Yes	GR03	28	2	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			No 	All	GR03	14754	332	241	45	26	20	0	72.6	13.6	7.8	6.0	0.0
2024-25	C	01			Alameda			No 	No 	GR03	14729	331	241	45	26	19	0	72.8	13.6	7.9	5.7	0.0
2024-25	C	01			Alameda			No 	Yes	GR03	28	2	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			Yes	All	GR03	1400	44	30	2	7	5	0	68.2	4.5	15.9	11.4	0.0
2024-25	C	01			Alameda			Yes	No 	GR03	1400	44	30	2	7	5	0	68.2	4.5	15.9	11.4	0.0
2024-25	C	01			Alameda			All	All	GR04	16105	348	256	39	29	24	0	73.6	11.2	8.3	6.9	0.0
2024-25	C	01			Alameda			All	No 	GR04	16087	346	255	39	29	23	0	73.7	11.3	8.4	6.6	0.0
2024-25	C	01			Alameda			All	Yes	GR04	27	2	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			No 	All	GR04	14844	314	228	36	27	23	0	72.6	11.5	8.6	7.3	0.0
2024-25	C	01			Alameda			No 	No 	GR04	14826	312	227	36	27	22	0	72.8	11.5	8.7	7.1	0.0
2024-25	C	01			Alameda			No 	Yes	GR04	27	2	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			Yes	All	GR04	1310	39	31	4	2	2	0	79.5	10.3	5.1	5.1	0.0
