Academic Year	Aggregate Level	County Code	District Code	School Code	County Name	District Name	School Name	Charter School	DASS	Reporting Category	Cumulative Enrollment	Homeless Student Enrollment	Temporarily Doubled Up	Temporary Shelters	Hotels/Motels	Temporarily Unsheltered	Missing/Unknown	Temporarily Doubled Up (percent)	Temporary Shelters (percent)	Hotels/Motels (percent)	Temporarily Unsheltered (percent)	Missing/Unknown (percent)
2022-23	T	00			State			All	All	GF	2919198	119998	100218	8113	7160	4505	2	83.5	6.8	6.0	3.8	0.0
2022-23	T	00			State			All	No 	GF	2847997	114124	95911	7393	6728	4090	2	84.0	6.5	5.9	3.6	0.0
2022-23	T	00			State			All	Yes	GF	114473	9851	7454	1054	720	623	0	75.7	10.7	7.3	6.3	0.0
2022-23	T	00			State			No 	All	GF	2575056	110918	93277	7196	6578	3865	2	84.1	6.5	5.9	3.5	0.0
2022-23	T	00			State			No 	No 	GF	2544290	108019	90949	6957	6367	3744	2	84.2	6.4	5.9	3.5	0.0
2022-23	T	00			State			No 	Yes	GF	52264	5348	4257	469	379	243	0	79.6	8.8	7.1	4.5	0.0
2022-23	T	00			State			Yes	All	GF	393652	13056	9991	1309	908	848	0	76.5	10.0	7.0	6.5	0.0
2022-23	T	00			State			Yes	No 	GF	332545	8401	6660	711	563	467	0	79.3	8.5	6.7	5.6	0.0
2022-23	T	00			State			Yes	Yes	GF	64288	4841	3470	613	362	396	0	71.7	12.7	7.5	8.2	0.0
2022-23	T	00			State			All	All	GM	3094499	126168	104821	8873	7547	4924	3	83.1	7.0	6.0	3.9	0.0
2022-23	T	00			State			All	No 	GM	3007570	119737	100191	7919	7180	4444	3	83.7	6.6	6.0	3.7	0.0
2022-23	T	00			State			All	Yes	GM	140785	11135	8311	1349	741	734	0	74.6	12.1	6.7	6.6	0.0
2022-23	T	00			State			No 	All	GM	2749880	117594	98533	7756	6980	4322	3	83.8	6.6	5.9	3.7	0.0
2022-23	T	00			State			No 	No 	GM	2701582	113776	95451	7439	6773	4110	3	83.9	6.5	6.0	3.6	0.0
2022-23	T	00			State			No 	Yes	GM	81872	7135	5660	611	472	392	0	79.3	8.6	6.6	5.5	0.0
2022-23	T	00			State			Yes	All	GM	392200	12321	9104	1525	904	788	0	73.9	12.4	7.3	6.4	0.0
2022-23	T	00			State			Yes	No 	GM	333038	8093	6293	744	624	432	0	77.8	9.2	7.7	5.3	0.0
2022-23	T	00			State			Yes	Yes	GM	62284	4408	2950	796	295	367	0	66.9	18.1	6.7	8.3	0.0
2022-23	T	00			State			All	All	GR01	420555	18192	15406	1141	1066	579	0	84.7	6.3	5.9	3.2	0.0
2022-23	T	00			State			All	No 	GR01	419190	18129	15369	1129	1056	575	0	84.8	6.2	5.8	3.2	0.0
2022-23	T	00			State			All	Yes	GR01	1854	115	66	18	20	11	0	57.4	15.7	17.4	9.6	0.0
