Academic Year	Aggregate Level	County Code	District Code	School Code	County Name	District Name	School Name	Charter School	DASS	Reporting Category	Cumulative Enrollment	Homeless Student Enrollment	Temporarily Doubled Up	Temporary Shelters	Hotels/Motels	Temporarily Unsheltered	Missing/Unknown	Temporarily Doubled Up (percent)	Temporary Shelters (percent)	Hotels/Motels (percent)	Temporarily Unsheltered (percent)	Missing/Unknown (percent)
2021-22	T	00			State			All	All	GF	2942890	109035	92011	6823	6329	3865	7	84.4	6.3	5.8	3.5	0.0
2021-22	T	00			State			All	No 	GF	2869465	103744	88079	6174	5957	3527	7	84.9	6.0	5.7	3.4	0.0
2021-22	T	00			State			All	Yes	GF	129335	9216	6939	1039	691	547	0	75.3	11.3	7.5	5.9	0.0
2021-22	T	00			State			No 	All	GF	2604593	100899	85743	5947	5837	3366	6	85.0	5.9	5.8	3.3	0.0
2021-22	T	00			State			No 	No 	GF	2568094	98151	83569	5717	5646	3213	6	85.1	5.8	5.8	3.3	0.0
2021-22	T	00			State			No 	Yes	GF	70788	5330	4097	505	429	299	0	76.9	9.5	8.0	5.6	0.0
2021-22	T	00			State			Yes	All	GF	387914	11398	8810	1202	714	670	2	77.3	10.5	6.3	5.9	0.0
2021-22	T	00			State			Yes	No 	GF	330357	7388	5878	650	448	410	2	79.6	8.8	6.1	5.5	0.0
2021-22	T	00			State			Yes	Yes	GF	60583	4165	3051	570	274	270	0	73.3	13.7	6.6	6.5	0.0
2021-22	T	00			State			All	All	GM	3117405	114902	96645	7367	6635	4247	8	84.1	6.4	5.8	3.7	0.0
2021-22	T	00			State			All	No 	GM	3027006	109301	92452	6665	6272	3904	8	84.6	6.1	5.7	3.6	0.0
2021-22	T	00			State			All	Yes	GM	157265	10252	7809	1182	687	574	0	76.2	11.5	6.7	5.6	0.0
2021-22	T	00			State			No 	All	GM	2779611	107438	90929	6565	6173	3764	7	84.6	6.1	5.7	3.5	0.0
2021-22	T	00			State			No 	No 	GM	2723559	103818	88040	6257	5935	3579	7	84.8	6.0	5.7	3.4	0.0
2021-22	T	00			State			No 	Yes	GM	102802	7095	5551	684	502	358	0	78.2	9.6	7.1	5.0	0.0
2021-22	T	00			State			Yes	All	GM	385959	10599	8127	1111	712	648	1	76.7	10.5	6.7	6.1	0.0
2021-22	T	00			State			Yes	No 	GM	331309	7227	5719	583	501	423	1	79.1	8.1	6.9	5.9	0.0
2021-22	T	00			State			Yes	Yes	GM	57547	3502	2504	546	220	232	0	71.5	15.6	6.3	6.6	0.0
2021-22	T	00			State			All	All	GR01	421201	15371	12966	933	939	533	0	84.4	6.1	6.1	3.5	0.0
2021-22	T	00			State			All	No 	GR01	418668	15285	12914	920	921	530	0	84.5	6.0	6.0	3.5	0.0
2021-22	T	00			State			All	Yes	GR01	4948	201	124	36	36	5	0	61.7	17.9	17.9	2.5	0.0
2021-22	T	00			State			No 	All	GR01	377094	14623	12352	882	895	494	0	84.5	6.0	6.1	3.4	0.0
2021-22	T	00			State			No 	No 	GR01	374661	14547	12305	872	879	491	0	84.6	6.0	6.0	3.4	0.0
2021-22	T	00			State			No 	Yes	GR01	4491	172	103	31	33	5	0	59.9	18.0	19.2	2.9	0.0
2021-22	T	00			State			Yes	All	GR01	48529	1016	811	83	73	49	0	79.8	8.2	7.2	4.8	0.0
2021-22	T	00			State			Yes	No 	GR01	48095	990	793	77	71	49	0	80.1	7.8	7.2	4.9	0.0
2021-22	T	00			State			Yes	Yes	GR01	460	30	21	6	3	0	0	70.0	20.0	10.0	0.0	0.0
2021-22	T	00			State			All	All	GR02	432435	16927	14340	1020	1012	554	1	84.7	6.0	6.0	3.3	0.0
2021-22	T	00			State			All	No 	GR02	429801	16832	14275	1009	997	550	1	84.8	6.0	5.9	3.3	0.0
2021-22	T	00			State			All	Yes	GR02	5121	214	139	31	31	13	0	65.0	14.5	14.5	6.1	0.0
2021-22	T	00			State			No 	All	GR02	387458	16113	13699	951	963	499	1	85.0	5.9	6.0	3.1	0.0
2021-22	T	00			State			No 	No 	GR02	384938	16031	13646	941	948	495	1	85.1	5.9	5.9	3.1	0.0
2021-22	T	00			State			No 	Yes	GR02	4688	185	115	28	30	12	0	62.2	15.1	16.2	6.5	0.0
2021-22	T	00			State			Yes	All	GR02	49244	1114	881	96	72	65	0	79.1	8.6	6.5	5.8	0.0
2021-22	T	00			State			Yes	No 	GR02	48828	1087	858	94	71	64	0	78.9	8.6	6.5	5.9	0.0
2021-22	T	00			State			Yes	Yes	GR02	440	29	24	3	1	1	0	82.8	10.3	3.4	3.4	0.0
2021-22	T	00			State			All	All	GR03	436900	17464	14752	1059	1067	581	5	84.5	6.1	6.1	3.3	0.0
2021-22	T	00			State			All	No 	GR03	434218	17394	14710	1049	1052	578	5	84.6	6.0	6.0	3.3	0.0
2021-22	T	00			State			All	Yes	GR03	5258	183	105	39	27	12	0	57.4	21.3	14.8	6.6	0.0
2021-22	T	00			State			No 	All	GR03	392449	16706	14143	998	1024	536	5	84.7	6.0	6.1	3.2	0.0
2021-22	T	00			State			No 	No 	GR03	389862	16653	14114	988	1011	535	5	84.8	5.9	6.1	3.2	0.0
2021-22	T	00			State			No 	Yes	GR03	4819	150	78	38	24	10	0	52.0	25.3	16.0	6.7	0.0
2021-22	T	00			State			Yes	All	GR03	48638	1044	821	88	71	63	1	78.6	8.4	6.8	6.0	0.1
2021-22	T	00			State			Yes	No 	GR03	48220	1013	797	86	68	61	1	78.7	8.5	6.7	6.0	0.1
2021-22	T	00			State			Yes	Yes	GR03	443	34	27	2	3	2	0	79.4	5.9	8.8	5.9	0.0
2021-22	T	00			State			All	All	GR04	442975	17740	14994	1057	1112	575	2	84.5	6.0	6.3	3.2	0.0
2021-22	T	00			State			All	No 	GR04	440227	17644	14924	1046	1098	574	2	84.6	5.9	6.2	3.3	0.0
2021-22	T	00			State			All	Yes	GR04	5381	226	158	29	30	9	0	69.9	12.8	13.3	4.0	0.0
2021-22	T	00			State			No 	All	GR04	399129	16967	14397	985	1059	524	2	84.9	5.8	6.2	3.1	0.0
2021-22	T	00			State			No 	No 	GR04	396507	16893	14346	974	1048	523	2	84.9	5.8	6.2	3.1	0.0
2021-22	T	00			State			No 	Yes	GR04	4897	183	122	27	26	8	0	66.7	14.8	14.2	4.4	0.0
2021-22	T	00			State			Yes	All	GR04	48049	1055	808	106	74	67	0	76.6	10.0	7.0	6.4	0.0
2021-22	T	00			State			Yes	No 	GR04	47599	1013	772	104	71	66	0	76.2	10.3	7.0	6.5	0.0
2021-22	T	00			State			Yes	Yes	GR04	486	44	37	2	4	1	0	84.1	4.5	9.1	2.3	0.0
2021-22	T	00			State			All	All	GR05	450548	17535	14882	1025	1064	563	1	84.9	5.8	6.1	3.2	0.0
2021-22	T	00			State			All	No 	GR05	447802	17449	14830	1009	1049	560	1	85.0	5.8	6.0	3.2	0.0
2021-22	T	00			State			All	Yes	GR05	5396	201	123	41	27	10	0	61.2	20.4	13.4	5.0	0.0
2021-22	T	00			State			No 	All	GR05	406398	16810	14319	953	1015	522	1	85.2	5.7	6.0	3.1	0.0
2021-22	T	00			State			No 	No 	GR05	403855	16733	14272	936	1005	519	1	85.3	5.6	6.0	3.1	0.0
2021-22	T	00			State			No 	Yes	GR05	4832	174	105	38	22	9	0	60.3	21.8	12.6	5.2	0.0
2021-22	T	00			State			Yes	All	GR05	48181	964	742	99	66	57	0	77.0	10.3	6.8	5.9	0.0
2021-22	T	00			State			Yes	No 	GR05	47651	938	725	96	61	56	0	77.3	10.2	6.5	6.0	0.0
2021-22	T	00			State			Yes	Yes	GR05	569	27	18	3	5	1	0	66.7	11.1	18.5	3.7	0.0
2021-22	T	00			State			All	All	GR06	450320	17158	14643	946	1004	563	2	85.3	5.5	5.9	3.3	0.0
2021-22	T	00			State			All	No 	GR06	447658	17057	14576	933	989	557	2	85.5	5.5	5.8	3.3	0.0
2021-22	T	00			State			All	Yes	GR06	5892	267	178	40	34	15	0	66.7	15.0	12.7	5.6	0.0
2021-22	T	00			State			No 	All	GR06	398843	16152	13805	884	949	513	1	85.5	5.5	5.9	3.2	0.0
2021-22	T	00			State			No 	No 	GR06	396567	16083	13763	874	936	509	1	85.6	5.4	5.8	3.2	0.0
2021-22	T	00			State			No 	Yes	GR06	4912	198	122	34	29	13	0	61.6	17.2	14.6	6.6	0.0
2021-22	T	00			State			Yes	All	GR06	56755	1330	1078	96	84	71	1	81.1	7.2	6.3	5.3	0.1
2021-22	T	00			State			Yes	No 	GR06	55824	1265	1027	90	78	69	1	81.2	7.1	6.2	5.5	0.1
2021-22	T	00			State			Yes	Yes	GR06	1002	71	56	7	6	2	0	78.9	9.9	8.5	2.8	0.0
2021-22	T	00			State			All	All	GR07	444730	15488	13071	928	932	557	0	84.4	6.0	6.0	3.6	0.0
2021-22	T	00			State			All	No 	GR07	441650	15366	12987	911	919	549	0	84.5	5.9	6.0	3.6	0.0
2021-22	T	00			State			All	Yes	GR07	7910	455	314	68	52	21	0	69.0	14.9	11.4	4.6	0.0
2021-22	T	00			State			No 	All	GR07	390932	14564	12336	864	863	501	0	84.7	5.9	5.9	3.4	0.0
2021-22	T	00			State			No 	No 	GR07	388624	14480	12281	846	856	497	0	84.8	5.8	5.9	3.4	0.0
2021-22	T	00			State			No 	Yes	GR07	5928	321	215	56	36	14	0	67.0	17.4	11.2	4.4	0.0
