Academic Year	Aggregate Level	County Code	District Code	School Code	County Name	District Name	School Name	Charter School	DASS	Reporting Category	Cumulative Enrollment	Homeless Student Enrollment	Temporarily Doubled Up	Temporary Shelters	Hotels/Motels	Temporarily Unsheltered	Missing/Unknown	Temporarily Doubled Up (percent)	Temporary Shelters (percent)	Hotels/Motels (percent)	Temporarily Unsheltered (percent)	Missing/Unknown (percent)
2020-21	T	00			State			All	All	GF	2987461	110531	94339	6501	5985	3690	16	85.4	5.9	5.4	3.3	0.0
2020-21	T	00			State			All	No 	GF	2915451	105221	90297	5875	5642	3392	15	85.8	5.6	5.4	3.2	0.0
2020-21	T	00			State			All	Yes	GF	105792	7628	5920	804	501	402	1	77.6	10.5	6.6	5.3	0.0
2020-21	T	00			State			No 	All	GF	2638253	102499	88152	5561	5467	3304	15	86.0	5.4	5.3	3.2	0.0
2020-21	T	00			State			No 	No 	GF	2606708	99725	85898	5345	5303	3165	14	86.1	5.4	5.3	3.2	0.0
2020-21	T	00			State			No 	Yes	GF	46108	4170	3360	325	273	211	1	80.6	7.8	6.5	5.1	0.0
2020-21	T	00			State			Yes	All	GF	383159	9848	7648	1109	639	451	1	77.7	11.3	6.5	4.6	0.0
2020-21	T	00			State			Yes	No 	GF	325570	6325	5040	624	404	256	1	79.7	9.9	6.4	4.0	0.0
2020-21	T	00			State			Yes	Yes	GF	61007	3655	2706	499	246	204	0	74.0	13.7	6.7	5.6	0.0
2020-21	T	00			State			All	All	GM	3158172	115651	97975	6936	6549	4171	20	84.7	6.0	5.7	3.6	0.0
2020-21	T	00			State			All	No 	GM	3067695	109847	93511	6351	6165	3800	20	85.1	5.8	5.6	3.5	0.0
2020-21	T	00			State			All	Yes	GM	134022	8680	6765	829	575	511	0	77.9	9.6	6.6	5.9	0.0
2020-21	T	00			State			No 	All	GM	2812641	108435	92531	6071	6054	3760	19	85.3	5.6	5.6	3.5	0.0
2020-21	T	00			State			No 	No 	GM	2757872	104515	89309	5829	5809	3549	19	85.5	5.6	5.6	3.4	0.0
2020-21	T	00			State			No 	Yes	GM	80123	6020	4876	436	395	313	0	81.0	7.2	6.6	5.2	0.0
2020-21	T	00			State			Yes	All	GM	379204	8914	6784	1016	618	495	1	76.1	11.4	6.9	5.6	0.0
2020-21	T	00			State			Yes	No 	GM	326745	6133	4817	602	424	289	1	78.5	9.8	6.9	4.7	0.0
2020-21	T	00			State			Yes	Yes	GM	56112	2888	2054	421	197	216	0	71.1	14.6	6.8	7.5	0.0
2020-21	T	00			State			All	All	GR01	437918	17027	14595	1012	907	510	3	85.7	5.9	5.3	3.0	0.0
2020-21	T	00			State			All	No 	GR01	436587	16970	14553	1003	904	507	3	85.8	5.9	5.3	3.0	0.0
2020-21	T	00			State			All	Yes	GR01	1790	85	60	12	8	5	0	70.6	14.1	9.4	5.9	0.0
2020-21	T	00			State			No 	All	GR01	391941	16183	13909	934	860	477	3	85.9	5.8	5.3	2.9	0.0
2020-21	T	00			State			No 	No 	GR01	390882	16134	13873	926	858	474	3	86.0	5.7	5.3	2.9	0.0
2020-21	T	00			State			No 	Yes	GR01	1330	67	48	10	6	3	0	71.6	14.9	9.0	4.5	0.0
2020-21	T	00			State			Yes	All	GR01	49035	988	798	94	56	40	0	80.8	9.5	5.7	4.0	0.0
2020-21	T	00			State			Yes	No 	GR01	48599	971	787	92	54	38	0	81.1	9.5	5.6	3.9	0.0
2020-21	T	00			State			Yes	Yes	GR01	461	18	12	2	2	2	0	66.7	11.1	11.1	11.1	0.0
2020-21	T	00			State			All	All	GR02	442741	17620	15068	980	1015	549	8	85.5	5.6	5.8	3.1	0.0
